Fecha;Tipo Examen;Materia;Tipo materia;Cantidad Canciones Escuchadas
31/3/20;;;;54
1/4/20;;;;25
2/4/20;;;;28
3/4/20;;;;26
4/4/20;;;;54
5/4/20;;;;53
6/4/20;;;;6
7/4/20;;;;43
8/4/20;;;;28
9/4/20;;;;126
10/4/20;;;;199
11/4/20;;;;53
12/4/20;;;;43
13/4/20;;;;15
14/4/20;;;;56
15/4/20;;;;76
16/4/20;;;;49
17/4/20;;;;91
18/4/20;;;;128
19/4/20;;;;90
20/4/20;Parcial;Sistemas contables;Negocios;51
21/4/20;Parcial;Informatica general;Informatica;74
22/4/20;;;;61
23/4/20;;;;13
24/4/20;;;;43
25/4/20;;;;48
26/4/20;;;;42
27/4/20;;;;13
28/4/20;;;;54
29/4/20;;;;34
30/4/20;;;;38
1/5/20;;;;35
2/5/20;;;;25
3/5/20;;;;14
4/5/20;Parcial;Panorama Historico Global;Cultura General;12
5/5/20;;;;40
6/5/20;;;;27
7/5/20;;;;37
8/5/20;;;;41
9/5/20;;;;66
10/5/20;;;;84
11/5/20;Parcial;Panorama Historico Global;Cultura General;22
12/5/20;;;;107
13/5/20;;;;90
14/5/20;Simulacro;Estadistica;Matematicas;71
15/5/20;;;;36
16/5/20;Parcial;Metodologia Del Aprendizaje;Cultura General;100
17/5/20;;;;83
18/5/20;;;;35
19/5/20;;;;46
20/5/20;;;;116
21/5/20;;;;46
22/5/20;;;;60
23/5/20;;;;73
24/5/20;;;;97
25/5/20;;;;36
26/5/20;;;;115
27/5/20;;;;53
28/5/20;;;;86
29/5/20;;;;66
30/5/20;;;;25
31/5/20;;;;23
1/6/20;;;;96
2/6/20;;;;51
3/6/20;;;;95
4/6/20;;;;27
5/6/20;;;;86
6/6/20;;;;64
7/6/20;;;;68
8/6/20;Parcial;Sistemas contables;Negocios;26
9/6/20;;;;93
10/6/20;;;;26
11/6/20;Parcial;Estadistica;Matematicas;11
12/6/20;;;;55
13/6/20;;;;47
14/6/20;;;;30
15/6/20;;;;18
16/6/20;Parcial;Informatica general;Informatica;33
17/6/20;;;;29
18/6/20;;;;17
19/6/20;;;;54
20/6/20;;;;39
21/6/20;;;;56
22/6/20;;;;60
23/6/20;Recuperatorio;Informatica general;Informatica;67
24/6/20;;;;3
25/6/20;;;;35
26/6/20;Parcial;Mate Discreta;Matematicas;61
27/6/20;;;;27
28/6/20;;;;45
29/6/20;;;;82
30/6/20;;;;6
1/7/20;;;;4
2/7/20;;;;68
3/7/20;;;;15
4/7/20;;;;16
5/7/20;;;;42
6/7/20;;;;2
7/7/20;;;;27
8/7/20;;;;33
9/7/20;;;;101
10/7/20;;;;40
11/7/20;;;;32
12/7/20;;;;60
13/7/20;Final;Estadistica;Matematicas;25
14/7/20;;;;13
15/7/20;Final;Metodologia Del Aprendizaje;Cultura General;42
16/7/20;Final;Sistemas contables;Negocios;59
17/7/20;Final;Mate Discreta;Matematicas;25
18/7/20;;;;42
19/7/20;;;;47
20/7/20;;;;13
21/7/20;Final;Panorama Historico Global;Cultura General;19
22/7/20;Final;Metodologia Del Aprendizaje;Cultura General;73
23/7/20;Final;Informatica general;Informatica;2
24/7/20;Vacaciones;;;50
25/7/20;Vacaciones;;;69
26/7/20;Vacaciones;;;75
27/7/20;Vacaciones;;;29
28/7/20;Vacaciones;;;97
29/7/20;Vacaciones;;;35
30/7/20;Vacaciones;;;48
31/7/20;Vacaciones;;;113
1/8/20;;;;34
2/8/20;;;;18
3/8/20;;;;114
4/8/20;;;;37
5/8/20;;;;12
6/8/20;;;;0
7/8/20;;;;60
8/8/20;;;;65
9/8/20;;;;33
10/8/20;;;;29
11/8/20;;;;23
12/8/20;;;;49
13/8/20;;;;19
14/8/20;;;;13
15/8/20;;;;64
16/8/20;;;;68
17/8/20;;;;28
18/8/20;;;;44
19/8/20;;;;24
20/8/20;;;;4
21/8/20;;;;30
22/8/20;;;;34
23/8/20;;;;41
24/8/20;;;;47
25/8/20;;;;24
26/8/20;;;;76
27/8/20;;;;30
28/8/20;Parcial;Mate aplicada;Matematicas;42
29/8/20;;;;57
30/8/20;;;;49
31/8/20;;;;43
1/9/20;;;;13
2/9/20;;;;5
3/9/20;;;;9
4/9/20;;;;30
5/9/20;;;;32
6/9/20;;;;43
7/9/20;;;;77
8/9/20;;;;51
9/9/20;;;;37
10/9/20;;;;18
11/9/20;;;;31
12/9/20;;;;82
13/9/20;;;;56
14/9/20;;;;19
15/9/20;;;;61
16/9/20;;;;40
17/9/20;;;;97
18/9/20;Parcial;Microeconomia;Negocios;19
19/9/20;;;;133
20/9/20;;;;49
21/9/20;;;;98
22/9/20;Parcial;Mate aplicada;Matematicas;86
23/9/20;;;;102
24/9/20;Parcial;Estructuras de datos y programacion;Informatica;38
25/9/20;;;;108
26/9/20;;;;26
27/9/20;;;;28
28/9/20;;;;46
29/9/20;;;;16
30/9/20;;;;40
1/10/20;Parcial;Filosofia;Cultura General;50
2/10/20;;;;66
3/10/20;;;;29
4/10/20;;;;59
5/10/20;;;;35
6/10/20;;;;35
7/10/20;;;;36
8/10/20;;;;24
9/10/20;;;;45
10/10/20;;;;17
11/10/20;;;;60
12/10/20;;;;66
13/10/20;;;;50
14/10/20;;;;56
15/10/20;;;;9
16/10/20;;;;41
17/10/20;;;;55
18/10/20;;;;119
19/10/20;Parcial;Estructuras de datos y programacion;Informatica;51
20/10/20;;;;45
21/10/20;;;;42
22/10/20;;;;15
23/10/20;;;;80
24/10/20;;;;83
25/10/20;;;;122
26/10/20;;;;50
27/10/20;Parcial;Mate aplicada;Matematicas;54
28/10/20;;;;43
29/10/20;;;;30
30/10/20;;;;28
31/10/20;;;;67
1/11/20;;;;22
2/11/20;;;;18
3/11/20;;;;13
4/11/20;;;;28
5/11/20;;;;69
6/11/20;Parcial;Microeconomia;Negocios;31
7/11/20;;;;72
8/11/20;;;;71
9/11/20;Parcial;Estructuras de datos y programacion;Informatica;39
10/11/20;;;;42
11/11/20;;;;26
12/11/20;Parcial;Filosofia;Cultura General;47
13/11/20;;;;105
14/11/20;;;;24
15/11/20;;;;29
16/11/20;;;;12
17/11/20;;;;40
18/11/20;;;;54
19/11/20;;;;79
20/11/20;Parcial;Mate aplicada;Matematicas;63
21/11/20;;;;86
22/11/20;;;;53
23/11/20;;;;99
24/11/20;;;;11
25/11/20;;;;60
26/11/20;Parcial;Contabilidad Gerencial;Negocios;15
27/11/20;;;;44
28/11/20;;;;38
29/11/20;;;;36
30/11/20;;;;54
1/12/20;;;;5
2/12/20;;;;25
3/12/20;;;;26
4/12/20;Final;Mate aplicada;Matematicas;30
5/12/20;;;;28
6/12/20;;;;28
7/12/20;Final;Estructuras de datos y programacion;Informatica;94
8/12/20;;;;72
9/12/20;;;;8
10/12/20;Final;Microeconomia;Negocios;106
11/12/20;Final;Contabilidad Gerencial;Negocios;50
12/12/20;;;;35
13/12/20;;;;73
14/12/20;;;;32
15/12/20;Final ;Filosofia;Cultura General;3
16/12/20;;;;33
17/12/20;;;;27
18/12/20;;;;67
19/12/20;;;;50
20/12/20;;;;71
21/12/20;;;;23
22/12/20;;;;14
23/12/20;;;;39
;;;;85